SubhaloID,Galaxy,COS_ID,h,center_x_ckpch,center_y_ckpch,center_z_ckpch,rhalf_star_ckpch,J_tot_x,J_tot_y,J_tot_z,inc_tot_deg,PA_tot_deg,inc_star_deg,PA_star_deg,PCA_major2D_XY_deg,rho_kpc,phi_deg,inc_used_deg,Rvir_kpc_used,debug_image,orientation_json,error
560751,J1032+2112,14,0.6774,22990.65234375,19946.203125,6483.91455078125,2.8340904712677,-211.64166259765625,508.8591003417969,718.9628295898438,37.4717629597697,22.583113608738614,46.63855778307748,28.781134556443305,27.873202957674977,214.0,45.0,76.07,245.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_560751/analysis/debug_sid560751_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_560751/analysis/orientation_sid560751_snap99.json,
561325,J1051+1245,15,0.6774,3697.03662109375,2511.12158203125,25002.072265625,7.326047897338867,478.4221496582031,-754.4927978515625,-346.4453430175781,68.80435468696494,32.37869012586085,73.99034099233509,52.31487363215361,53.85139601143157,140.0,73.0,64.5,194.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_561325/analysis/debug_sid561325_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_561325/analysis/orientation_sid561325_snap99.json,
563732,J1032+2112,14,0.6774,23253.017578125,17960.3046875,8687.81640625,3.5811498165130615,-433.9471435546875,595.2484741210938,-465.6727600097656,57.700469420741555,36.09274071019826,46.64333358129776,15.706914686033912,17.17461373256296,214.0,45.0,76.07,245.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_563732/analysis/debug_sid563732_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_563732/analysis/orientation_sid563732_snap99.json,
567897,J1241+2847,28,0.6774,24822.095703125,26656.45703125,23230.865234375,3.1582295894622803,219.5810089111328,-120.84291076660156,119.73351287841797,64.46539508662308,61.17451280971896,85.11132125453321,149.5383229041639,136.7186089077611,198.0,40.0,50.74,180.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_567897/analysis/debug_sid567897_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_567897/analysis/orientation_sid567897_snap99.json,
569251,J0951+3537,10,0.6774,17908.98046875,29982.271484375,25240.669921875,5.235662937164307,209.21693420410156,-595.9664916992188,113.93235778808594,79.77492304533456,19.343871806577056,77.44333875969996,12.791765803042033,14.014689208706102,226.0,3.0,61.95,229.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_569251/analysis/debug_sid569251_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_569251/analysis/orientation_sid569251_snap99.json,
572121,J1051+1245,15,0.6774,23617.26171875,9543.7578125,4406.0390625,9.142607688903809,-905.3532104492188,252.76730346679688,-1002.5477294921875,43.15506518191357,74.40069598669425,45.70362612823067,75.23364690155609,73.64318048231863,140.0,73.0,64.5,194.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_572121/analysis/debug_sid572121_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_572121/analysis/orientation_sid572121_snap99.json,
576705,J1404+3357,36,0.6774,9997.5810546875,10095.8671875,28196.7421875,0.6541693806648254,-121.56025695800781,88.16546630859375,38.00522994995117,75.79741579202958,54.047298858757316,63.26319812504419,71.12899104839744,73.04688983596702,111.0,57.0,70.34,181.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_576705/analysis/debug_sid576705_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_576705/analysis/orientation_sid576705_snap99.json,
579232,J0852+0309,3,0.6774,24948.341796875,912.4413452148438,23042.271484375,6.119198322296143,1069.7427978515625,-337.2933654785156,-5.637557506561279,89.71202848120389,72.49976825728615,79.36729057297666,79.91955239151325,81.11475929722565,178.0,67.0,79.36729057297666,179.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_579232/analysis/debug_sid579232_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_579232/analysis/orientation_sid579232_snap99.json,
582612,J1317+2629,32,0.6774,1244.5732421875,5733.1455078125,28066.904296875,6.6156744956970215,383.0373840332031,709.86962890625,-693.8577270507812,49.29767984894232,151.6492176309842,39.66339858837009,121.1510664318404,114.92227641330737,198.0,86.0,49.9,176.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_582612/analysis/debug_sid582612_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_582612/analysis/orientation_sid582612_snap99.json,
582809,J1241+2847,28,0.6774,15928.9462890625,1737.1805419921875,16354.7890625,0.8245559334754944,280.05279541015625,-86.84902954101562,227.02655029296875,52.2501436984393,72.77046740393124,51.55384919727838,6.514380064009016,178.96085222162102,198.0,40.0,50.74,180.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_582809/analysis/debug_sid582809_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_582809/analysis/orientation_sid582809_snap99.json,
584724,J0852+0309,3,0.6774,2550.981689453125,31726.048828125,18008.6171875,0.9724295735359192,-287.584716796875,-298.6408386230469,22.62278175354004,86.87671801271279,136.0804613030014,81.86240630281691,157.9152357322032,155.63100679373431,178.0,67.0,81.86240630281691,179.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_584724/analysis/debug_sid584724_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_584724/analysis/orientation_sid584724_snap99.json,
585282,J0852+0309,3,0.6774,25798.884765625,10746.5478515625,24785.859375,2.6723287105560303,-426.93927001953125,254.42005920410156,-419.6389465332031,49.823996046948515,59.20859776339944,33.32110052336521,37.04020205609717,31.183013641766564,178.0,67.0,33.32110052336521,179.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_585282/analysis/debug_sid585282_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_585282/analysis/orientation_sid585282_snap99.json,
586670,J1317+2629,32,0.6774,20843.34765625,24704.123046875,22063.771484375,7.754508972167969,-265.1977233886719,1021.0187377929688,160.5393829345703,81.34684898018558,14.560173173352496,65.83502931386685,170.9879535274326,173.62786117690476,198.0,86.0,49.9,176.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_586670/analysis/debug_sid586670_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_586670/analysis/orientation_sid586670_snap99.json,
590218,J1051+1245,15,0.6774,21267.720703125,26466.00390625,23927.0,4.537707805633545,-673.9324340820312,340.97686767578125,36.39461898803711,87.2412321363097,63.16281956215924,75.25955235380059,31.505846211525665,31.118509186835354,140.0,73.0,64.5,194.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_590218/analysis/debug_sid590218_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_590218/analysis/orientation_sid590218_snap99.json,
591469,J1051+1245,15,0.6774,30804.154296875,23362.955078125,33122.6875,5.542763710021973,-437.41644287109375,504.0573425292969,713.4602661132812,43.08903091246892,40.95115170956174,21.287718182718827,37.829940000565955,41.015328529146984,140.0,73.0,64.5,194.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_591469/analysis/debug_sid591469_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_591469/analysis/orientation_sid591469_snap99.json,
592021,J1404+3357,36,0.6774,21970.826171875,3689.3916015625,17570.345703125,0.8218390941619873,-457.8278503417969,-521.8142700195312,28.890071868896484,87.6168913740787,138.73702959049137,65.84147824868317,62.72226475033589,60.4632636813141,111.0,57.0,70.34,181.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_592021/analysis/debug_sid592021_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_592021/analysis/orientation_sid592021_snap99.json,
593259,J1404+3357,36,0.6774,29103.576171875,11335.4296875,1919.411376953125,2.7417564392089844,-285.7959289550781,-477.2233581542969,-317.0391845703125,60.31896661464006,149.08376929288735,63.77387555495129,150.88415105030006,151.02950252612376,111.0,57.0,70.34,181.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_593259/analysis/debug_sid593259_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_593259/analysis/orientation_sid593259_snap99.json,
595100,J1241+2847,28,0.6774,32081.97265625,12696.080078125,9876.12109375,1.5018203258514404,-112.11286926269531,474.65008544921875,-43.5959587097168,84.89196819762913,13.289749763035985,68.28627453328635,69.08161586369982,2.7740913010660506,198.0,40.0,50.74,180.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_595100/analysis/debug_sid595100_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_595100/analysis/orientation_sid595100_snap99.json,
596244,J1317+2629,32,0.6774,23285.900390625,12950.53125,16776.638671875,2.9025752544403076,-305.3396911621094,-700.7496337890625,-598.0029907226562,51.962734992207956,156.45565734109243,43.23705086933813,168.60198713908466,171.68043831040615,198.0,86.0,49.9,176.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_596244/analysis/debug_sid596244_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_596244/analysis/orientation_sid596244_snap99.json,
596660,J1241+2847,28,0.6774,400.40777587890625,30713.3125,9955.904296875,1.5420784950256348,301.4513244628906,-538.6902465820312,-164.7431640625,75.0573478243291,29.231397672473147,67.72850597192087,27.83356370672693,31.350242425908647,198.0,40.0,50.74,180.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_596660/analysis/debug_sid596660_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_596660/analysis/orientation_sid596660_snap99.json,
600363,J1348+2453,34,0.6774,11441.9091796875,5751.3779296875,6312.73388671875,2.3548452854156494,-284.30279541015625,189.2166290283203,801.0347900390625,23.090470081082916,56.35440248748813,54.06429408564861,4.309541175552027,3.691416141985968,153.0,81.0,80.3,160.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_600363/analysis/debug_sid600363_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_600363/analysis/orientation_sid600363_snap99.json,
600946,J1132+1329,25,0.6774,12996.0703125,21806.00390625,14169.212890625,2.201066732406616,-2.1266515254974365,471.6109924316406,589.2234497070312,38.673859419166625,0.2583640605942321,44.23645259042659,8.279017154998485,4.127848074230116,230.0,5.0,68.62,168.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_600946/analysis/debug_sid600946_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_600946/analysis/orientation_sid600946_snap99.json,
602509,J1317+2629,32,0.6774,29093.89453125,19938.533203125,3426.323974609375,3.334906816482544,591.9295654296875,-134.24061584472656,-10.300309181213379,89.02776619643578,77.22232094576664,85.83572308163588,47.38312310107874,47.9949937740671,198.0,86.0,49.9,176.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_602509/analysis/debug_sid602509_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_602509/analysis/orientation_sid602509_snap99.json,
602653,J1404+3357,36,0.6774,7832.369140625,9697.7509765625,3829.578369140625,4.814095497131348,54.186851501464844,-196.1986846923828,303.1728515625,33.876590163638106,15.439277431842688,16.065856928166973,25.33676645756097,39.63695317339753,111.0,57.0,70.34,181.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_602653/analysis/debug_sid602653_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_602653/analysis/orientation_sid602653_snap99.json,
605054,J1100+1210,17,0.6774,5130.97705078125,15485.357421875,4635.89501953125,1.0742146968841553,268.7900085449219,-119.59486389160156,54.464412689208984,79.51158057234963,66.01390565684362,80.59123657097653,30.009767245312066,29.210288993242074,171.0,61.0,76.59,164.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_605054/analysis/debug_sid605054_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_605054/analysis/orientation_sid605054_snap99.json,
605844,J1132+1329,25,0.6774,34516.36328125,16959.443359375,5988.8359375,1.9322943687438965,-226.22877502441406,-517.4186401367188,251.1119384765625,66.02665931464648,156.38381047470094,84.99092384583162,151.76905051242096,150.40031879471093,230.0,5.0,68.62,168.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_605844/analysis/debug_sid605844_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_605844/analysis/orientation_sid605844_snap99.json,
607530,J0852+0309,3,0.6774,19465.646484375,2725.740478515625,27543.7421875,5.1483378410339355,-560.4484252929688,-521.7566528320312,121.4348373413086,80.98860203162221,132.9523923387196,82.96386690522692,128.247730374965,127.07893558140658,178.0,67.0,82.96386690522692,179.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_607530/analysis/debug_sid607530_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_607530/analysis/orientation_sid607530_snap99.json,
610361,J1132+1329,25,0.6774,22730.42578125,20295.08203125,7263.1796875,6.219284534454346,291.0774230957031,-206.63768005371094,-875.216552734375,22.188629526915623,54.628819779312934,17.72069355380785,5.568588095629222,29.787667996570264,230.0,5.0,68.62,168.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_610361/analysis/debug_sid610361_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_610361/analysis/orientation_sid610361_snap99.json,
