COS_ID,Galaxy,MatchRank,SubhaloID,GroupID,dlogMstar,dlogMHI,dist
15,J1051+1245,4,561325,285,0.013231784879813802,0.05400912290644655,0.048213518798558355
15,J1051+1245,5,63871,1,0.033656602261771695,0.027888378641732103,0.052244274491774295
15,J1051+1245,6,253864,12,2.795105817199328e-05,0.06955513191847018,0.05736978242302871
15,J1051+1245,7,583745,367,0.030952667001896472,0.048635259274366405,0.05890840600005145
15,J1051+1245,8,508539,158,0.02185563953273295,0.062485561490056796,0.05986725175113524
15,J1051+1245,9,428179,67,0.04887535218161432,0.007584309171722481,0.0684051121958354
15,J1051+1245,10,587819,385,0.03606322468429646,0.056320178223696615,0.06844113647062089
17,J1100+1210,1,611152,509,0.011637511031967307,0.09828588932116489,0.08267380432609699
17,J1100+1210,2,625041,595,0.05302350843007986,0.04831654426758725,0.08396049865682424
17,J1100+1210,3,621255,567,0.029459174107106634,0.14109548929176796,0.12340721984787228
17,J1100+1210,4,630975,638,0.09770364740458781,0.019368177241286588,0.1371052287399565
17,J1100+1210,5,143890,4,0.02669276756557082,0.16650597465270955,0.14228536207663448
17,J1100+1210,6,605054,474,0.11512823190393817,0.013681772170325956,0.16085267106477924
17,J1100+1210,7,528323,196,0.12011437634408573,0.007087657821600146,0.16750765293799227
19,J1115+0241,1,538905,219,0.02215686708466791,0.005082608101890429,0.03116368911831762
19,J1115+0241,2,550149,251,0.02205248411855898,0.02880687701046547,0.03884822251796425
19,J1115+0241,3,554798,265,0.02748391927802807,0.04941691600615705,0.05593391885789961
19,J1115+0241,4,552581,258,0.04024268398406328,0.0093306622170779,0.05661251330235684
19,J1115+0241,5,537488,216,0.05698685520931157,0.03655555986669334,0.08495421571282438
19,J1115+0241,6,540920,224,0.009216372186132915,0.10191113776604155,0.08503310475016297
19,J1115+0241,7,532301,204,0.016529229274690138,0.1076638627079447,0.09174172394964164
19,J1115+0241,8,542252,228,0.07069600256571285,0.04060024017357833,0.1040655313278285
19,J1115+0241,9,546474,240,0.02329143549460788,0.13822018045601503,0.118536874812594
19,J1115+0241,10,543376,231,0.08846371890154714,0.005178997910977756,0.12336748574357527
25,J1132+1329,1,600946,451,0.010003367943273389,0.008770109673495341,0.015706749846307537
25,J1132+1329,2,610361,504,0.016221891294257773,0.0015099848588029374,0.022643025730022318
25,J1132+1329,3,611385,510,0.016014515578502753,0.03485583998075903,0.03639643833479024
25,J1132+1329,4,605844,478,0.01988862704181571,0.030689711931339403,0.03753808914295361
25,J1132+1329,5,563471,291,0.017862116212453927,0.04325806788083675,0.043506196480764335
25,J1132+1329,6,626697,608,0.03234562100040428,0.009931627075488336,0.045818907094362045
25,J1132+1329,7,573738,327,0.02716579985266776,0.03978988930440508,0.05010573280024288
25,J1132+1329,8,382216,41,0.025091530023534148,0.050461558166189135,0.054362319977895444
25,J1132+1329,9,623877,587,0.02179984407282909,0.05830539907280219,0.056884528424212745
25,J1132+1329,10,615292,531,0.04939588574622178,0.014999962332666428,0.06994683061793605
26,J1142+3013,1,530852,201,0.028763919752814004,0.00826149334880455,0.0406638035450127
26,J1142+3013,2,512425,165,0.025063853396416036,0.0508347753301539,0.05457366576160637
26,J1142+3013,3,526478,192,0.029427518331072378,0.04887273596688324,0.05750717885225248
